timestamp,bid_price,bid_size,ask_price,ask_size,market_id
2025-09-15T23:06:25.586094,3682.0,0.0989,3682.08,2.3612,48
2025-09-15T23:06:25.928239,3682.0,0.0989,3682.08,2.3612,48
2025-09-15T23:06:25.937774,3682.0,0.0989,3682.08,2.3612,48
2025-09-15T23:06:26.181538,3682.0,0.0989,3682.08,0.4211,48
2025-09-15T23:06:26.186582,3682.0,0.0989,3682.08,0.4211,48
2025-09-15T23:06:28.354734,3682.0,0.0989,3682.08,2.3612,48
2025-09-15T23:06:28.385533,3682.0,0.0989,3682.08,1.9401,48
2025-09-15T23:06:28.444158,3682.0,0.0989,3682.08,1.9401,48
2025-09-15T23:06:34.025057,3682.0,0.0989,3682.08,1.9399,48
2025-09-15T23:06:34.829384,3682.0,0.0989,3682.26,0.0678,48
2025-09-15T23:06:37.419190,3682.0,0.0989,3682.26,0.0678,48
2025-09-15T23:07:43.313525,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.602765,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.613852,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.620896,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.624176,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.627262,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.632399,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.635747,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.639990,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.642763,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.644215,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.644562,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.644882,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.645202,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.645537,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.649558,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.651267,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.655110,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.655570,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.656997,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.659811,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.662679,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.664271,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.666474,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.669521,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.679645,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.696264,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.697465,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.701147,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.759614,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.786579,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.839524,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.890156,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.932223,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:43.960837,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.014279,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.044768,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.105058,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.142789,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.197391,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.230071,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.274152,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.309389,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.351658,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.373791,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.429677,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.462392,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.490250,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.491013,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.514332,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.543786,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.594450,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.625154,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.680784,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.718986,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.762284,3682.0,0.0987,3682.01,1.4267,48
2025-09-15T23:07:44.786501,3682.0,0.0987,3682.01,1.4267,48
