2025-09-15 21:51:13,345 - INFO - <module>:100 - Creating data directory: lighter_data
2025-09-15 21:51:13,346 - INFO - <module>:102 - Data directory created successfully
2025-09-15 21:51:13,346 - INFO - main:347 - === Starting Lighter DEX Data Collector ===
2025-09-15 21:51:13,346 - INFO - main:348 - Tracking symbols: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:13,347 - INFO - main:352 - Initializing API client...
2025-09-15 21:51:13,352 - INFO - main:355 - ✓ API client initialized
2025-09-15 21:51:13,352 - INFO - main:358 - Discovering market IDs...
2025-09-15 21:51:13,352 - DEBUG - get_market_id:149 - Getting market ID for symbol: ETH
2025-09-15 21:51:14,915 - INFO - get_market_id:156 - Found market ID 0 for symbol ETH
2025-09-15 21:51:14,915 - DEBUG - get_market_id:149 - Getting market ID for symbol: BTC
2025-09-15 21:51:15,223 - INFO - get_market_id:156 - Found market ID 1 for symbol BTC
2025-09-15 21:51:15,224 - DEBUG - get_market_id:149 - Getting market ID for symbol: PAXG
2025-09-15 21:51:15,523 - INFO - get_market_id:156 - Found market ID 48 for symbol PAXG
2025-09-15 21:51:15,523 - INFO - main:370 - ✓ Mapped 3 markets: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:15,524 - INFO - main:376 - Starting background tasks...
2025-09-15 21:51:15,524 - INFO - main:385 - ✓ All tasks started
2025-09-15 21:51:15,524 - INFO - main:386 - === Data collector is running (Press Ctrl+C to stop) ===
2025-09-15 21:51:15,524 - INFO - write_buffers_to_csv:207 - Starting CSV writer with 5s intervals...
2025-09-15 21:51:15,525 - INFO - fetch_recent_trades_periodically:168 - Starting periodic trade fetching...
2025-09-15 21:51:15,525 - INFO - websocket_manager:321 - Creating WebSocket client for 3 markets...
2025-09-15 21:51:18,261 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,262 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,262 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,263 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,264 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,265 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,266 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,266 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,267 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,268 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,269 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,269 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,270 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,270 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.1
2025-09-15 21:51:18,271 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,272 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,273 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,274 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,275 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,276 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,277 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,278 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,279 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.2
2025-09-15 21:51:18,280 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,281 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,282 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,283 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,283 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,285 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,286 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.3
2025-09-15 21:51:18,287 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,288 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,289 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,289 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,290 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,291 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,291 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,292 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,293 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,346 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,352 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,391 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,463 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,499 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,502 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,545 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,570 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,606 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4522.93
2025-09-15 21:51:18,626 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,627 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.77, ask=4523.22
2025-09-15 21:51:18,635 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,638 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,639 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
